sheet,nj,bk,kfc,roys,wendys,co_owned,southj,centralj,northj,pa1,pa2,wage,fte_obs,post
476,0,1,0,0,0,0,0,0,0,1,0,4.25,24.0,0
477,0,1,0,0,0,0,0,0,0,0,1,4.25,26.0,0
478,0,1,0,0,0,0,0,0,0,1,0,4.5,48.5,0
485,0,0,1,0,0,1,0,0,0,0,1,4.5,8.5,0
491,0,0,0,1,0,0,0,0,0,0,1,4.5,18.5,0
492,0,0,0,1,0,1,0,0,0,0,1,4.5,13.0,0
497,0,0,0,0,1,1,0,0,0,0,1,4.5,22.5,0
498,0,0,0,0,1,1,0,0,0,0,1,4.75,28.0,0
501,0,1,0,0,0,0,0,0,0,0,1,4.25,24.5,0
503,0,1,0,0,0,0,0,0,0,0,1,4.75,18.5,0
510,0,0,0,1,0,1,0,0,0,0,1,4.25,23.5,0
511,0,0,0,1,0,1,0,0,0,0,1,4.75,15.0,0
514,0,0,0,1,0,0,0,0,0,0,1,4.5,18.0,0
516,0,0,0,1,0,1,0,0,0,0,1,4.75,20.25,0
521,0,1,0,0,0,0,0,0,0,1,0,4.25,15.5,0
522,0,1,0,0,0,0,0,0,0,1,0,4.35,21.0,0
113,1,1,0,0,0,0,0,1,0,0,0,,15.0,0
123,1,1,0,0,0,0,0,1,0,0,0,,15.0,0
135,1,0,0,1,0,0,0,1,0,0,0,,24.0,0
138,1,0,0,1,0,1,0,0,1,0,0,,19.25,0
153,1,1,0,0,0,0,0,0,1,0,0,,21.5,0
181,1,0,1,0,0,0,0,0,1,0,0,,9.5,0
191,1,0,0,0,1,0,0,0,1,0,0,,44.0,0
231,1,1,0,0,0,0,0,0,1,0,0,,,0
236,1,1,0,0,0,0,0,0,1,0,0,,21.0,0
254,1,0,0,0,1,0,1,0,0,0,0,,28.0,0
255,1,0,0,0,1,0,1,0,0,0,0,,10.0,0
294,1,1,0,0,0,0,0,0,1,0,0,,20.5,0
306,1,0,0,1,0,1,0,0,1,0,0,,25.5,0
311,1,0,0,0,1,0,0,0,1,0,0,,19.0,0
315,1,1,0,0,0,0,1,0,0,0,0,,16.5,0
335,1,1,0,0,0,1,1,0,0,0,0,,17.0,0
372,1,1,0,0,0,1,0,0,1,0,0,,27.5,0
6,1,0,0,1,0,1,0,1,0,0,0,5.0,5.0,0
14,1,0,1,0,0,0,0,1,0,0,0,5.12,16.0,0
26,1,1,0,0,0,0,0,0,1,0,0,5.56,41.5,0
27,1,0,1,0,0,1,0,1,0,0,0,5.0,13.0,0
30,1,0,1,0,0,0,0,0,1,0,0,5.0,10.0,0
31,1,0,1,0,0,0,0,1,0,0,0,5.25,15.0,0
33,1,0,0,1,0,0,0,0,1,0,0,5.0,26.0,0
36,1,0,0,0,1,0,0,1,0,0,0,5.5,18.0,0
77,1,0,0,1,0,0,0,0,1,0,0,5.0,35.0,0
78,1,0,0,1,0,1,0,0,1,0,0,5.0,21.0,0
81,1,0,0,0,1,0,0,0,1,0,0,5.0,34.5,0
82,1,0,0,0,1,0,0,0,1,0,0,5.0,18.25,0
83,1,0,0,0,1,0,0,0,1,0,0,5.0,24.5,0
85,1,1,0,0,0,0,0,1,0,0,0,5.5,20.0,0
89,1,1,0,0,0,1,0,1,0,0,0,5.0,16.0,0
94,1,0,1,0,0,0,0,1,0,0,0,5.0,17.5,0
103,1,0,0,0,1,0,0,0,1,0,0,5.0,20.5,0
112,1,0,0,0,1,0,0,0,1,0,0,5.0,20.0,0
128,1,0,1,0,0,1,0,1,0,0,0,5.0,12.25,0
129,1,0,0,1,0,0,0,1,0,0,0,5.25,33.0,0
131,1,0,0,1,0,0,0,1,0,0,0,5.5,31.5,0
139,1,0,0,0,1,0,0,1,0,0,0,5.5,,0
143,1,0,0,0,1,0,0,1,0,0,0,5.37,18.0,0
144,1,0,0,0,1,0,0,1,0,0,0,5.05,28.0,0
145,1,1,0,0,0,0,0,0,1,0,0,5.0,16.5,0
147,1,1,0,0,0,0,0,0,1,0,0,5.12,14.75,0
148,1,1,0,0,0,0,0,0,1,0,0,5.25,23.5,0
151,1,1,0,0,0,0,0,0,1,0,0,5.0,10.0,0
152,1,1,0,0,0,0,0,0,1,0,0,5.12,46.5,0
157,1,0,1,0,0,0,0,0,1,0,0,5.0,15.5,0
161,1,0,0,1,0,1,0,0,1,0,0,5.0,24.5,0
163,1,0,0,1,0,1,0,0,1,0,0,5.0,24.0,0
164,1,0,0,1,0,1,0,0,1,0,0,5.0,23.0,0
165,1,0,0,0,1,0,0,0,1,0,0,5.0,28.0,0
169,1,1,0,0,0,1,0,0,1,0,0,5.0,32.5,0
170,1,1,0,0,0,1,0,0,1,0,0,5.0,23.0,0
187,1,0,0,1,0,0,0,0,1,0,0,5.62,17.0,0
190,1,0,0,1,0,1,0,0,1,0,0,5.0,30.0,0
196,1,0,0,0,1,1,0,0,1,0,0,5.0,21.5,0
197,1,1,0,0,0,0,0,0,1,0,0,5.0,32.0,0
234,1,1,0,0,0,0,0,0,1,0,0,5.0,8.0,0
240,1,0,0,1,0,1,0,0,1,0,0,5.1,35.5,0
241,1,0,0,1,0,0,0,0,1,0,0,5.0,31.5,0
242,1,0,0,1,0,1,0,0,1,0,0,5.25,33.0,0
245,1,0,0,1,0,0,0,0,1,0,0,5.5,22.0,0
259,1,1,0,0,0,0,1,0,0,0,0,5.0,23.0,0
268,1,1,0,0,0,1,1,0,0,0,0,5.0,23.0,0
271,1,0,1,0,0,1,1,0,0,0,0,5.0,8.5,0
272,1,0,1,0,0,1,1,0,0,0,0,5.05,12.5,0
274,1,0,1,0,0,1,1,0,0,0,0,5.5,9.5,0
276,1,0,1,0,0,1,1,0,0,0,0,5.0,13.0,0
296,1,1,0,0,0,1,0,0,1,0,0,5.3,17.0,0
299,1,0,1,0,0,1,0,0,1,0,0,5.0,9.0,0
301,1,0,1,0,0,1,0,0,1,0,0,5.0,19.0,0
320,1,0,1,0,0,0,1,0,0,0,0,5.0,11.5,0
321,1,0,1,0,0,0,1,0,0,0,0,5.0,13.0,0
324,1,0,0,1,0,0,1,0,0,0,0,5.25,48.0,0
326,1,0,0,1,0,1,1,0,0,0,0,5.15,45.5,0
330,1,0,0,0,1,0,1,0,0,0,0,5.42,15.0,0
334,1,1,0,0,0,0,1,0,0,0,0,5.0,18.0,0
349,1,0,0,1,0,1,1,0,0,0,0,5.0,21.0,0
354,1,0,0,0,1,0,1,0,0,0,0,5.06,20.5,0
356,1,0,0,0,1,0,1,0,0,0,0,5.05,20.5,0
357,1,0,0,0,1,0,0,0,1,0,0,5.0,17.5,0
371,1,1,0,0,0,0,0,0,1,0,0,5.0,27.5,0
373,1,1,0,0,0,1,0,0,1,0,0,5.0,24.0,0
375,1,1,0,0,0,0,0,0,1,0,0,5.25,34.0,0
378,1,1,0,0,0,1,0,0,1,0,0,5.0,18.0,0
381,1,1,0,0,0,0,0,0,1,0,0,5.0,24.0,0
403,1,0,0,1,0,1,0,0,1,0,0,5.05,,0
406,1,0,0,0,1,1,0,0,1,0,0,5.0,33.5,0
407,1,0,0,0,1,1,0,0,1,0,0,5.75,12.0,0
409,1,1,0,0,0,0,0,0,1,0,0,5.0,35.0,0
1,1,1,0,0,0,0,0,1,0,0,0,4.5,35.0,0
2,1,1,0,0,0,0,0,1,0,0,0,4.75,16.0,0
3,1,0,1,0,0,0,0,1,0,0,0,4.25,15.5,0
4,1,0,0,1,0,0,0,1,0,0,0,4.75,19.0,0
5,1,0,0,1,0,0,0,1,0,0,0,4.5,24.0,0
8,1,0,0,0,1,0,0,1,0,0,0,4.8,,0
9,1,1,0,0,0,0,0,1,0,0,0,4.37,36.0,0
10,1,1,0,0,0,0,0,1,0,0,0,4.25,29.0,0
11,1,1,0,0,0,0,0,1,0,0,0,4.25,29.0,0
12,1,1,0,0,0,0,0,1,0,0,0,4.37,21.25,0
13,1,0,1,0,0,0,0,1,0,0,0,4.5,15.5,0
15,1,0,0,1,0,0,0,1,0,0,0,4.6,19.5,0
16,1,0,0,1,0,0,0,1,0,0,0,4.5,21.0,0
17,1,0,0,1,0,0,0,1,0,0,0,4.37,14.0,0
18,1,0,0,1,0,0,0,1,0,0,0,4.25,30.5,0
19,1,1,0,0,0,0,1,0,0,0,0,4.25,23.5,0
21,1,0,1,0,0,0,1,0,0,0,0,4.45,14.0,0
22,1,0,0,1,0,0,1,0,0,0,0,4.35,14.5,0
23,1,1,0,0,0,0,0,0,1,0,0,4.5,15.5,0
24,1,1,0,0,0,0,0,1,0,0,0,4.75,26.5,0
28,1,0,1,0,0,0,0,0,1,0,0,4.5,8.0,0
29,1,0,1,0,0,0,0,0,1,0,0,4.5,5.5,0
32,1,0,0,1,0,0,0,0,1,0,0,4.5,23.25,0
34,1,0,0,1,0,1,0,0,1,0,0,4.95,15.5,0
35,1,0,0,0,1,0,0,0,1,0,0,4.5,32.25,0
38,1,1,0,0,0,0,0,1,0,0,0,4.25,30.0,0
63,1,1,0,0,0,1,0,0,1,0,0,4.25,,0
64,1,1,0,0,0,0,0,0,1,0,0,4.5,30.5,0
65,1,1,0,0,0,0,0,0,1,0,0,4.8,14.0,0
66,1,1,0,0,0,0,0,0,1,0,0,4.25,27.0,0
67,1,1,0,0,0,0,0,0,1,0,0,4.5,18.5,0
68,1,1,0,0,0,0,0,0,1,0,0,4.25,38.0,0
69,1,1,0,0,0,0,0,0,1,0,0,4.25,16.5,0
70,1,1,0,0,0,0,0,0,1,0,0,4.5,50.0,0
71,1,1,0,0,0,0,0,0,1,0,0,4.75,20.5,0
73,1,0,1,0,0,0,0,0,1,0,0,4.25,6.5,0
75,1,0,1,0,0,0,0,0,1,0,0,4.25,13.5,0
76,1,0,0,1,0,1,0,0,1,0,0,4.25,28.0,0
79,1,0,0,1,0,1,0,0,1,0,0,4.5,21.5,0
80,1,0,0,0,1,0,0,0,1,0,0,4.25,,0
84,1,1,0,0,0,0,0,1,0,0,0,4.5,24.0,0
86,1,1,0,0,0,0,0,1,0,0,0,4.25,20.5,0
87,1,1,0,0,0,0,0,1,0,0,0,4.5,,0
88,1,1,0,0,0,0,1,0,0,0,0,4.25,23.5,0
91,1,1,0,0,0,1,0,1,0,0,0,4.25,23.0,0
92,1,1,0,0,0,1,0,1,0,0,0,4.25,17.0,0
93,1,1,0,0,0,1,0,0,1,0,0,4.25,20.5,0
95,1,0,1,0,0,0,0,1,0,0,0,4.25,23.5,0
96,1,0,1,0,0,0,0,0,1,0,0,4.25,9.5,0
97,1,0,1,0,0,0,0,1,0,0,0,4.25,10.0,0
98,1,0,1,0,0,0,0,1,0,0,0,4.25,14.0,0
99,1,0,0,1,0,1,0,1,0,0,0,4.75,85.0,0
101,1,0,0,1,0,0,0,1,0,0,0,4.75,15.0,0
102,1,0,0,1,0,0,1,0,0,0,0,4.4,21.5,0
104,1,0,0,0,1,0,0,1,0,0,0,4.62,53.0,0
105,1,1,0,0,0,0,0,0,1,0,0,4.25,24.0,0
106,1,1,0,0,0,0,0,0,1,0,0,4.25,20.5,0
107,1,1,0,0,0,1,0,0,1,0,0,4.25,14.5,0
108,1,1,0,0,0,0,0,0,1,0,0,4.25,25.0,0
111,1,0,0,1,0,0,0,0,1,0,0,4.25,27.0,0
114,1,1,0,0,0,0,0,1,0,0,0,4.75,22.5,0
115,1,1,0,0,0,0,0,1,0,0,0,4.75,36.5,0
116,1,1,0,0,0,0,0,1,0,0,0,4.25,17.25,0
118,1,1,0,0,0,0,0,0,1,0,0,4.25,21.5,0
119,1,1,0,0,0,0,0,0,1,0,0,4.75,24.5,0
120,1,1,0,0,0,1,0,1,0,0,0,4.5,19.0,0
122,1,1,0,0,0,0,0,0,1,0,0,4.25,25.0,0
124,1,1,0,0,0,0,0,1,0,0,0,4.25,16.0,0
125,1,0,1,0,0,0,0,1,0,0,0,4.5,19.0,0
130,1,0,0,1,0,1,0,1,0,0,0,4.5,22.75,0
132,1,0,0,1,0,1,0,1,0,0,0,4.5,35.0,0
133,1,0,0,1,0,1,0,1,0,0,0,4.75,16.0,0
134,1,0,0,1,0,0,0,1,0,0,0,4.62,21.0,0
136,1,0,0,1,0,1,0,1,0,0,0,4.25,26.75,0
137,1,0,0,1,0,1,0,0,1,0,0,4.25,30.5,0
140,1,0,0,0,1,0,0,1,0,0,0,4.5,23.0,0
141,1,0,0,0,1,0,0,1,0,0,0,4.75,21.5,0
142,1,0,0,0,1,0,0,0,1,0,0,4.25,36.5,0
146,1,1,0,0,0,0,0,0,1,0,0,4.8,23.0,0
149,1,1,0,0,0,0,0,0,1,0,0,4.5,14.0,0
150,1,1,0,0,0,0,0,0,1,0,0,4.67,17.25,0
156,1,1,0,0,0,0,0,0,1,0,0,4.87,18.5,0
158,1,0,1,0,0,0,0,0,1,0,0,4.5,8.5,0
159,1,0,1,0,0,0,0,0,1,0,0,4.5,14.0,0
162,1,0,0,1,0,1,0,0,1,0,0,4.75,23.0,0
166,1,0,0,0,1,0,0,0,1,0,0,4.75,29.0,0
168,1,1,0,0,0,0,0,0,1,0,0,4.25,19.0,0
171,1,1,0,0,0,1,0,0,1,0,0,4.25,21.0,0
172,1,1,0,0,0,0,0,0,1,0,0,4.75,17.0,0
173,1,1,0,0,0,0,0,0,1,0,0,4.85,36.0,0
174,1,1,0,0,0,0,0,0,1,0,0,4.75,25.0,0
176,1,1,0,0,0,0,0,0,1,0,0,4.62,29.5,0
178,1,0,1,0,0,1,0,0,1,0,0,4.25,22.0,0
179,1,0,1,0,0,0,0,0,1,0,0,4.25,11.0,0
180,1,0,1,0,0,0,0,0,1,0,0,4.5,13.5,0
182,1,0,1,0,0,0,1,0,0,0,0,4.5,13.5,0
183,1,0,1,0,0,0,0,0,1,0,0,4.62,18.0,0
185,1,0,1,0,0,0,0,1,0,0,0,4.5,9.5,0
186,1,0,0,1,0,0,0,0,1,0,0,4.75,24.0,0
189,1,0,0,1,0,0,0,0,1,0,0,4.75,14.5,0
192,1,0,0,0,1,0,0,0,1,0,0,4.87,29.0,0
193,1,0,0,0,1,0,0,0,1,0,0,4.5,10.5,0
195,1,0,0,0,1,0,0,0,1,0,0,4.25,18.0,0
198,1,1,0,0,0,0,0,0,1,0,0,4.25,,0
199,1,0,1,0,0,0,0,0,1,0,0,4.35,9.0,0
200,1,1,0,0,0,0,0,0,1,0,0,4.25,33.0,0
201,1,1,0,0,0,0,0,0,1,0,0,4.5,19.5,0
202,1,1,0,0,0,0,0,0,1,0,0,4.25,41.0,0
203,1,1,0,0,0,0,0,0,1,0,0,4.25,17.0,0
204,1,1,0,0,0,0,0,0,1,0,0,4.25,18.25,0
207,1,0,1,0,0,1,0,0,1,0,0,4.75,17.0,0
208,1,0,0,1,0,1,0,0,1,0,0,4.62,32.0,0
209,1,0,0,1,0,1,0,0,1,0,0,4.25,26.0,0
210,1,0,0,0,1,1,0,0,1,0,0,4.5,11.5,0
211,1,1,0,0,0,0,1,0,0,0,0,4.5,21.0,0
212,1,1,0,0,0,0,1,0,0,0,0,4.5,22.75,0
213,1,1,0,0,0,1,1,0,0,0,0,4.55,18.5,0
214,1,1,0,0,0,0,1,0,0,0,0,4.62,20.0,0
215,1,1,0,0,0,0,1,0,0,0,0,4.5,18.0,0
216,1,0,1,0,0,0,1,0,0,0,0,4.25,10.5,0
217,1,0,1,0,0,1,1,0,0,0,0,4.25,10.5,0
218,1,0,1,0,0,1,1,0,0,0,0,4.35,11.0,0
219,1,0,1,0,0,1,1,0,0,0,0,4.25,10.5,0
220,1,0,1,0,0,0,1,0,0,0,0,4.25,12.5,0
221,1,0,1,0,0,0,1,0,0,0,0,4.6,18.0,0
222,1,0,0,1,0,1,1,0,0,0,0,4.25,17.0,0
223,1,0,0,1,0,1,1,0,0,0,0,4.75,15.0,0
225,1,0,0,1,0,1,1,0,0,0,0,4.75,19.5,0
226,1,0,0,0,1,0,1,0,0,0,0,4.25,13.0,0
228,1,0,0,0,1,0,1,0,0,0,0,4.5,20.25,0
229,1,1,0,0,0,0,0,0,1,0,0,4.5,26.0,0
230,1,1,0,0,0,0,0,0,1,0,0,4.25,15.5,0
232,1,1,0,0,0,0,0,0,1,0,0,4.75,24.0,0
233,1,1,0,0,0,0,0,0,1,0,0,4.65,25.5,0
235,1,1,0,0,0,0,0,0,1,0,0,4.25,14.5,0
237,1,1,0,0,0,0,0,0,1,0,0,4.25,21.5,0
238,1,0,1,0,0,1,0,0,1,0,0,4.75,14.0,0
239,1,0,1,0,0,0,0,0,1,0,0,4.25,20.0,0
243,1,0,0,1,0,1,0,0,1,0,0,4.5,22.5,0
244,1,0,0,1,0,1,0,0,1,0,0,4.25,30.0,0
247,1,0,0,0,1,0,0,0,1,0,0,4.5,24.0,0
248,1,0,0,0,1,0,0,0,1,0,0,4.75,22.0,0
249,1,1,0,0,0,0,1,0,0,0,0,4.37,13.0,0
250,1,0,1,0,0,1,1,0,0,0,0,4.5,5.0,0
253,1,0,0,1,0,1,1,0,0,0,0,4.87,13.5,0
257,1,1,0,0,0,0,1,0,0,0,0,4.25,28.0,0
258,1,1,0,0,0,0,1,0,0,0,0,4.25,18.0,0
260,1,1,0,0,0,1,1,0,0,0,0,4.25,24.0,0
262,1,1,0,0,0,0,1,0,0,0,0,4.25,16.5,0
264,1,1,0,0,0,0,1,0,0,0,0,4.25,7.0,0
265,1,1,0,0,0,0,1,0,0,0,0,4.25,11.0,0
267,1,1,0,0,0,0,1,0,0,0,0,4.25,19.5,0
269,1,0,1,0,0,1,1,0,0,0,0,4.45,10.0,0
273,1,0,1,0,0,1,1,0,0,0,0,4.62,13.0,0
275,1,0,1,0,0,1,1,0,0,0,0,4.25,10.0,0
277,1,0,1,0,0,1,1,0,0,0,0,4.25,12.5,0
278,1,0,1,0,0,1,1,0,0,0,0,4.25,8.0,0
282,1,0,0,1,0,1,1,0,0,0,0,4.25,12.0,0
284,1,0,0,1,0,1,1,0,0,0,0,4.5,20.5,0
285,1,0,0,1,0,1,1,0,0,0,0,4.75,18.5,0
286,1,0,0,1,0,1,1,0,0,0,0,4.75,11.5,0
287,1,0,0,1,0,1,1,0,0,0,0,4.5,15.0,0
288,1,0,0,1,0,1,1,0,0,0,0,4.75,13.0,0
289,1,0,0,1,0,1,1,0,0,0,0,4.25,10.0,0
290,1,0,0,0,1,0,1,0,0,0,0,4.75,17.0,0
291,1,0,0,0,1,0,1,0,0,0,0,4.55,17.0,0
292,1,0,0,0,1,0,1,0,0,0,0,4.8,20.5,0
295,1,1,0,0,0,0,0,0,1,0,0,4.75,15.5,0
297,1,1,0,0,0,1,0,0,1,0,0,4.25,19.5,0
303,1,0,0,1,0,1,0,0,1,0,0,4.35,30.5,0
304,1,0,0,1,0,0,0,0,1,0,0,4.5,23.0,0
305,1,0,0,1,0,1,0,0,1,0,0,4.39,13.0,0
307,1,0,0,1,0,1,0,0,1,0,0,4.25,30.25,0
310,1,0,0,0,1,0,0,0,1,0,0,4.25,18.0,0
312,1,1,0,0,0,0,1,0,0,0,0,4.25,10.0,0
313,1,1,0,0,0,0,1,0,0,0,0,4.5,19.5,0
314,1,1,0,0,0,0,1,0,0,0,0,4.62,17.0,0
316,1,1,0,0,0,1,1,0,0,0,0,4.62,25.5,0
317,1,1,0,0,0,0,1,0,0,0,0,4.25,6.0,0
318,1,0,1,0,0,0,1,0,0,0,0,4.75,11.5,0
319,1,0,1,0,0,0,1,0,0,0,0,4.62,8.5,0
322,1,0,0,1,0,1,1,0,0,0,0,4.75,18.5,0
325,1,0,0,1,0,1,1,0,0,0,0,4.5,15.5,0
333,1,1,0,0,0,0,0,1,0,0,0,4.25,14.25,0
336,1,1,0,0,0,0,1,0,0,0,0,4.5,38.0,0
337,1,1,0,0,0,1,1,0,0,0,0,4.87,24.75,0
339,1,1,0,0,0,1,1,0,0,0,0,4.25,23.0,0
340,1,1,0,0,0,0,1,0,0,0,0,4.25,24.0,0
341,1,0,1,0,0,1,1,0,0,0,0,4.62,7.5,0
343,1,0,1,0,0,1,1,0,0,0,0,4.75,15.0,0
346,1,0,1,0,0,1,1,0,0,0,0,4.25,9.25,0
348,1,0,0,1,0,1,0,1,0,0,0,4.25,11.25,0
350,1,0,0,1,0,1,1,0,0,0,0,4.75,16.5,0
351,1,0,0,1,0,1,1,0,0,0,0,4.25,18.75,0
352,1,0,0,1,0,1,0,0,1,0,0,4.75,13.5,0
353,1,0,0,1,0,1,1,0,0,0,0,4.37,21.75,0
355,1,0,0,0,1,0,0,1,0,0,0,4.87,13.5,0
359,1,1,0,0,0,1,1,0,0,0,0,4.25,15.0,0
360,1,1,0,0,0,0,1,0,0,0,0,4.25,17.5,0
361,1,1,0,0,0,0,1,0,0,0,0,4.25,17.5,0
362,1,0,1,0,0,0,1,0,0,0,0,4.25,,0
363,1,0,1,0,0,0,1,0,0,0,0,4.25,15.5,0
364,1,0,1,0,0,0,1,0,0,0,0,4.25,16.5,0
366,1,0,0,1,0,0,1,0,0,0,0,4.5,13.5,0
368,1,0,0,0,1,0,1,0,0,0,0,4.25,13.0,0
369,1,1,0,0,0,1,0,0,1,0,0,4.35,11.5,0
370,1,1,0,0,0,0,0,0,1,0,0,4.85,29.05,0
376,1,1,0,0,0,0,0,0,1,0,0,4.5,13.0,0
377,1,1,0,0,0,0,0,0,1,0,0,4.25,18.0,0
379,1,1,0,0,0,0,0,0,1,0,0,4.62,30.0,0
380,1,1,0,0,0,0,0,0,1,0,0,4.5,20.5,0
383,1,1,0,0,0,0,0,0,1,0,0,4.5,10.0,0
384,1,1,0,0,0,0,0,0,1,0,0,4.65,,0
385,1,1,0,0,0,0,0,0,1,0,0,4.25,26.0,0
386,1,1,0,0,0,0,0,0,1,0,0,4.25,12.5,0
391,1,0,1,0,0,0,0,0,1,0,0,4.25,19.5,0
393,1,0,1,0,0,1,0,0,1,0,0,4.62,12.0,0
396,1,0,0,1,0,1,0,0,1,0,0,4.87,36.0,0
397,1,0,0,1,0,1,0,0,1,0,0,4.25,21.0,0
398,1,0,0,1,0,1,0,0,1,0,0,4.75,24.5,0
399,1,0,0,1,0,1,0,0,1,0,0,4.87,20.0,0
400,1,0,0,1,0,1,0,0,1,0,0,4.5,26.5,0
401,1,0,0,1,0,0,0,0,1,0,0,4.25,15.0,0
402,1,0,0,1,0,1,0,0,1,0,0,4.75,19.0,0
405,1,0,0,1,0,1,0,0,1,0,0,4.32,17.5,0
410,1,1,0,0,0,0,0,0,1,0,0,4.25,20.5,0
411,1,1,0,0,0,0,0,0,1,0,0,4.5,21.0,0
412,1,0,1,0,0,0,0,1,0,0,0,4.5,10.5,0
413,1,1,0,0,0,0,0,0,1,0,0,4.25,23.0,0
414,1,1,0,0,0,0,0,0,1,0,0,4.25,23.0,0
415,1,1,0,0,0,0,0,0,1,0,0,4.25,29.0,0
417,1,1,0,0,0,1,0,0,1,0,0,4.25,21.0,0
418,1,1,0,0,0,0,0,0,1,0,0,4.25,41.5,0
419,1,0,1,0,0,1,0,0,1,0,0,4.25,12.0,0
421,1,0,1,0,0,1,0,0,1,0,0,4.62,33.0,0
422,1,0,1,0,0,0,0,0,1,0,0,4.75,6.5,0
423,1,0,1,0,0,1,0,0,1,0,0,4.95,9.0,0
424,1,0,1,0,0,1,0,0,1,0,0,4.75,9.75,0
426,1,0,0,1,0,1,0,0,1,0,0,4.25,24.5,0
427,1,0,0,0,1,0,0,0,1,0,0,4.75,14.0,0
428,1,0,0,0,1,0,0,0,1,0,0,4.62,19.5,0
46,0,1,0,0,0,0,0,0,0,1,0,4.3,24.0,1
